patron_zip,patron_type,library
90401,Adult,Fairview Branch
90401,Adult,Fairview Branch
90401,Adult,Fairview Branch
90401,Adult,Fairview Branch
90401,Adult,Fairview Branch
90401,Adult,Fairview Branch
90401,Adult,Fairview Branch
90401,Adult,Fairview Branch
90401,Adult,Fairview Branch
90401,Adult,Fairview Branch
90401,Adult,Fairview Branch
90401,Juvenile,Fairview Branch
90401,Teen,Fairview Branch
90402,Adult,Fairview Branch
90402,Adult,Fairview Branch
90402,Adult,Fairview Branch
90402,Adult,Fairview Branch
90402,Juvenile,Fairview Branch
90402,Adult,Fairview Branch
90402,Adult,Fairview Branch
90402,Teen,Fairview Branch
90403,Juvenile,Fairview Branch
90403,Adult,Fairview Branch
90403,Adult,Fairview Branch
90403,Adult,Fairview Branch
90403,Adult,Fairview Branch
90403,Adult,Fairview Branch
90403,Adult,Fairview Branch
90403,Adult,Fairview Branch
90403,Teen,Fairview Branch
90404,Adult,Fairview Branch
90404,Teen,Fairview Branch
90404,Adult,Fairview Branch
90404,Adult,Fairview Branch
90404,Adult,Fairview Branch
90404,Adult,Fairview Branch
90404,Adult,Fairview Branch
90404,Teen,Fairview Branch
90404,Adult,Fairview Branch
90404,Adult,Fairview Branch
90404,Teen,Fairview Branch
90404,Adult,Fairview Branch
90404,Adult,Fairview Branch
90404,Adult,Fairview Branch
90404,Juvenile,Fairview Branch
90405,Teen,Fairview Branch
90405,Adult,Fairview Branch
90405,Adult,Fairview Branch
90405,Adult,Fairview Branch
90405,Teen,Fairview Branch
90405,Adult,Fairview Branch
90405,Adult,Fairview Branch
90405,Juvenile,Fairview Branch
